"officer_badge_number","officer_name"
"6395","Joseph Mccoy Jr"
"8707","Barbara Ausborne"
"9955","Demetria Allen"
"9810","Kevin Hayden"
"10933","Daniel Kessenich"
"6741","Christopher Jackson"
"9089","Jason Smith"
"10451","Mia Alvarez"
"10391","Waylon Osborn"
"7616","Oscar Carter"
"8295","Brian Fry"
"9957","Luis Torres"
"7971","Jesse Woods"
"6153","Thomas Clayton"
"5714","James Fung"
"10583","Shawn Thomas"
"10075","Brian Bradley"
"10466","Darren Burch"
"8965","Ryan Vertz"
"9489","Jamie Mixon"
"7821","Kenneth Gardner"
"9791","Jasper Moss Iii"
"8626","Briggitte Anderson"
"9599","Samantha Crenshaw"
"6009","Darrin Branch"
"4694","Garen Cornett"
"5777","Joseph Desonier"
"10628","Charles Crochett"
"5455","Fredrick Akon"
"6850","Charles James Jr"
"10206","Soo Nam"
"8831","Gerald Parker"
"4682","Esther Echols"
"7875","Jeffrey Beezley"
"6441","Patrick Mcfall"
"9640","Rickey Willis"
"7402","Fidel Ortiz Jr"
"10784","Asia Shaw"
"10603","Danica Knutson"
"10703","John Eubanks"
"10719","Jesus Tovar"
"10778","Byron Stewart Jr"
"10919","Shane Carney"
"10336","Jamison Gross"
"9499","Courtney Moore"
"10170","Adam Kuschel"
"10623","Carlos Mandes"
"8781","Andrew Gregorich"
"10620","Mauricio Garcia"
"9164","Crystal Morganfield"
"10921","David Igarashi"
"7790","Phillip Rhodes"
"9247","Camron Garst"
"10937","Chase Morris"
"8302","Dung Pham"
"10125","Nedra Wilson"
"9815","David Clark"
"10622","Christopher Blow"
"7855","Keith Harner"
"6301","Paul Burbulys"
"7683","Susan Mcclenon"
"9705","Patrick Sadler"
"8337","Michael Taglienti"
"8693","Rene Sanchez"
"9157","Daniel Hale"
"10331","Jorge Barrientos"
"9163","Joshua Shipp"
"5789","Carlos Guerra Jr"
"9463","Sean Barth"
"10030","Jorge Hernandez"
"10834","Ayomide Adeshina"
"5421","Evelyn Powell"
"9658","Sonya Empy"
"10204","Nacole Belmonte"
"9278","Jonathon Beamon"
"10094","Jeffrey Purdy"
"10832","Brandon Odom"
"10688","Matthew Henry"
"8525","Joshua Crenshaw"
"10744","Priscilla Hernandez"
"9417","Marcell Ford"
"10859","Thomas Goers"
"8830","Matthew Merta"
"10285","Randall Mays"
"5484","Earl Givens Iii"
"10702","Amber Guyger"
"9798","Tyrone Williams Jr."
"9111","Matthew Parson"
"6363","Eric Ricklic"
"7618","Avery Redd"
"9448","Jesse Philips"
"9933","Kenneth Dietrich"
"10829","Leon Rademacher Iii"
"6966","Michael Enriquez"
"8948","Bryson Brown"
"9869","Tressie Mason"
"9690","James Stephens"
"10924","Christopher Carnley"
"10776","Jonathan Lawson"
"10533","John Rozell"
"6730","Roderick Shephard"
"7567","Andrea Watson"
"7347","Michael Irwin"
"10845","Alphie Fraction"
"6490","Anthony Foster"
"10694","Derreck Dean"
"10749","Peter Lawrence"
"M219","Joefrank Thomas"
"10631","Jesika Jones"
"10836","Timothy Liggins"
"10381","Erik Arriaga"
"10546","Michael Bailey"
"10785","Gordon Fulton"
"9392","Dianna Blevins"
"8876","Doyle Wynn"
"9275","Rebecca Tristan"
"9930","Alexander Cleland"
"9675","Jason Kimpel"
"10515","Jessica Cuddy"
"10884","Dashad Young"
"10769","Chad Harmon"
"10527","Isaac Ortuno"
"6489","Christopher Caballero"
"10904","Travis Marshall"
"10418","Ryan Ovens"
"8378","Ronald Trigo"
"10301","Warren Aeria"
"6513","Lacrondia Ellis"
"6544","Terigi Rossi"
"8959","Blake Peebles"
"8743","Joe Garcia"
"10629","Gregory Chappel"
"9649","Christopher Jameson"
"10594","Eduardo Cerda"
"5733","Steven Castillo"
"8433","Juan Rangel"
"10709","Jennifer Alam"
"5068","Joyce James"
"8553","Kraig Thomas"
"9668","Gerri Harper"
"5122","Alan Shelton"
"10232","Tina Hill"
"8894","Ian Otto"
"9121","Raymond Ramos"
"10086","Jeffery Hall"
"5302","Stacy Ward"
"7556","Ruthie Lambert"
"10265","Donovan Hammerberg"
"10914","Daniel Watkins"
"8976","Michael Dennis"
"9568","Stephanie Detamble"
"10698","Zachary Beaudreault"
"8220","Rodney Samuel"
"9759","Michael Stampley"
"8644","Kevin Green"
"8833","Hanh Nguyen"
"5174","Mary Hershiser"
"10250","Nicholas Morris"
"8050","Thomas Yi"
"9949","Oscar Macias"
"9896","Theodore Gross"
"10887","Jesus Palomo"
"8856","Kevin Gladden"
"10646","Daniel Juarez"
"10297","Steve Gomez"
"6951","Anthony Edmond"
"10819","James Callicutt"
"10630","Nathaniel Foster"
"8703","John Arnold"
"10147","David Kim"
"7362","Benjamin Cintorino"
"10780","Richard Valencia Jr"
"9144","William Shumpert"
"9843","Carlos Valarezo"
"8690","Mark Streeter"
"9346","Christopher Jetelina"
"9693","Catherine Newkirk"
"8237","Tobin Childers"
"10669","Gordon Bennett"
"10900","Sterling Hollins"
"9119","Douglas Martinez"
"8009","Steven Tomiyama"
"9651","Kenneth Watson"
"8949","Briana Buchanan"
"10804","Tameka Currie"
"10898","Joshua Gatson"
"7587","Douglas Craig"
"9899","Jon Leach"
"10349","Vicente Moreno"
"9720","Daniel Mulvihill"
"7165","Rodney Williams"
"8813","Kevin Souders"
"10730","Glenn Larsen"
"10270","Jameson Buchanan"
"8721","Steven Adler"
"9070","Nathan Martinez"
"6750","Darryl Gary"
"8306","Tarviant Campbell"
"9422","Stephan Gibralter"
"6917","Bobby Woods"
"8623","Jose Guerrero"
"10169","Dustin Hatch"
"9534","Emerson Pineda"
"9149","Thomas Mills"
"9129","Shannon Browning"
"9427","Edward Cruz Done"
"10503","William Bruce"
"10357","Javier Lopez"
"8211","Rick Parlier"
"8230","Charles Hall"
"8825","Barry Hogan"
"6781","Thelma Lewis"
"9571","Barry Tate"
"10342","Eric Hearn Jr"
"10315","Bret Early"
"7156","Anthony Andujar"
"10267","Tammi Macaj"
"10851","Noel Marez"
"10843","Fernando Gonzalez"
"7426","Randell Evans"
"7112","Edward Trevino"
"6946","Jay Angelino"
"10116","Jason Gribbon"
"9169","Derek Koerner"
"9586","Bryan Riser"
"8691","Domingo Rivera"
"10881","Abraham Escoto-Fonseca"
"4766","Thomas Haney"
"10923","Cornelius Harris"
"6693","Antonio Manning"
"8738","Jerry Hornback"
"10004","Tomi Clark"
"9471","Trevor Perez"
"5084","Claude Hall"
"9804","Rory Jones"
"5409","Luis Canales"
"6846","Kim Waller"
"4506","Wesley Johnson"
"7452","James Reynolds"
"6343","Bryan Spearman"
"10838","Howard Leftwich"
"9155","Derrick Evangelista"
"10412","Kody Martinez"
"F0233","Lorenzo Salazar"
"10748","Alexander Shirley"
"9291","Larry Moody"
"10818","Kyle Gregory"
"5569","Charles Fleming Jr"
"5872","Elvis Benson"
"7881","Michael Conway"
"10847","Isaac Martinez"
"8521","Jonathan Crump"
"8212","Kevin Daigrepont"
"9165","Sara Vega"
"10377","Ken Nguyen"
"9656","Melva Jackson"
"8804","Bradley Uptmore"
"10198","Sarah Martinez"
"9674","Andrew Richardson"
"10857","Brandy Walling"
"10545","Justin Novak"
"5260","Dale Lundberg"
"10379","Boz Rojas"
"10634","Arturo Delgado"
"9946","Alex Mendoza"
"9368","Jose Kim"
"9254","Ryan Bluhm"
"9969","Francisco Mireles Jr."
"9363","Raul Rodriquez"
"10750","Robert Reeder"
"10273","Joseph Dillard"
"10757","Samuel Day"
"8724","William Mclennan"
"10849","Oscar Arias"
"9851","Timothy Jackson Jr."
"8464","Jackie Noel"
"9990","Colin Ohayre"
"4824","Lawrence Price"
"10614","Martin Mclean"
"F0234","Melanie Forbes-Scott"
"10396","Justin Gladney"
"10608","Corie Reed"
"7019","Kurt Manasco"
"9335","Jeffrey Grandy"
"6048","Karl Freeman"
"5873","Charles Miller"
"10100","Fernando Cortina"
"10734","Kyle Corporon"
"8798","Coit Willis"
"10312","Andrew Cyr"
"9672","Jeffrey Debevec"
"10244","Gustavo Rodriguez"
"10894","Gabriela Kirgis"
"7075","Patrick Martinez"
"6279","Charles Barney"
"8696","Steven Blosser"
"6567","Michael Csaszar"
"10135","Andrew Ballard"
"R236","Darren Jones"
"5931","Henry Munster Iii"
"7537","Christopher Wagner"
"8973","Sharice Crank"
"10735","Joshua Radford"
"9960","Johnnie Fitzgerald Jr."
"8651","Sara Vergara"
"10540","Victor Guardiola"
"6858","Calvin Johnson"
"9850","Kevin Simler"
"10756","Philip Sterle"
"10229","Angelica Martinez"
"7561","Jessica Merrell"
"9126","Devon Palk"
"9565","James Goetz"
"9174","Nathan Tyndall"
"9215","Reynold Mabee"
"10134","Walter Sambola"
"10578","Fernando Sanchez"
"8370","Larry Bankston"
"10767","Alan Hovis"
"9774","Tye Gunn"
"7974","Roger Bearden"
"10073","Thomas Hartmann"
"9965","Danny Landeros"
"10070","Wendy Lary"
"9698","Daniel Harris"
"10607","Kevin Perkins"
"10765","Jere Holt"
"9700","Andrew Hoyle"
"10787","Loriann Sanchez"
"9855","Joseph Thomason"
"10130","Thomas Purdy"
"10373","Stanley Ashley"
"8935","Phillip Lewis"
"9719","Courtney Ludwig"
"8735","Todd Pillsbury"
"8938","Cynthia Gurrola"
"7883","Hubert Freeman"
"10746","William Gray Jr"
"6323","Jason Giron"
"7193","Rex Jones"
"8041","Ivan Saldana"
"9551","Eller Gilliom"
"10752","Paul Bradley"
"10013","Lance Delasbour"
"8747","Marty Hotchkiss"
"7139","Vincent Mcdaniel"
"9635","Maurice Bullocks Jr."
"8205","Michael Welch"
"10876","Michael Long"
"10156","Shane Chang"
"9219","Jeremy Smith"
"9604","Emmanuel Strand"
"6154","Douglas Foor"
"9395","Stephen Stovall Jr"
"10909","Timothy Wells"
"7080","Mark Mclachlan"
